,,,#Cancelled,,Reaccomodations,,Mistakes,,,,,Accuracy,Technical,,,,,,,,,,
savefile label,ORIG,DEST,PNRs,Passengers,PNRs,seats,Overbooked seats,multiple booking,,,,Reaccomodation rate,#qubits,Subqubo,Iterations,shots,time,sampling,solver,Code filename,,other notes,
,,,,,,,,,,,,,,,,,,,,,,removed reclocs,"4915, 12079"
Cancellations in single legged flights,,,,,,,,,,,,,,,,,,,,,,one entry deleted,"3585, 7158,10233,11717,13519,14077"
,TPH,BPJ,6,7,6,7,0,0,,,,100.00%,111,111,10,1000,,1,simulated annealing,,,,
,QHP,TPH,162,242,162,242,0,0,,,,100.00%,1673,1673,3,1000,,1,,,,,
,"['QHP','TPH']","['TPH','EYF']",315,533,295,484,0,0,,,,90.81%,3220,3220,3,1000,,1,,,,,
,"['QHP','TPH','TZJ','VUY']","['TPH','EYF']",619,962,572,875,0,0,,,,90.96%,6310,6310,3,1000,,1,,,,,
,ALL,ALL,4030,5924,3830,8790,2256,1178,,,,90.41%,35097,10000,20,1000,30mins,0.85,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Single leg cancellations in 2 legged flights,,,,,,,,,,,,,,,,,,,,,,,
D2,"['OLT','VUY','EYF']","['TZJ','EYF','VUY']",245,484,124,246,29,0,,,,44.83%,1195,1195,10,,,,,,,,
,ALL,ALL,9223,15165,4737,9313,3078,0,,,,41.11%,35386,10000,20,,~40mins,0.85,,,,,
