RECLOC,ORIG_CD,DEST_CD,DEP_KEY,FLT_NUM,DEP_DTMZ,ARR_DTMZ,PAX_CNT,NEW_DEPKEY,NEW_DEP_DTMZ,NEW_ARR_DTMZ,DELAY
0,EBG,TPH,AZ20271022EBGTPH6882,6882,2027-10-22 19:06:00,2027-10-22 21:35:00,1,AZ20271022EBGTPH18974,2027-10-23 02:17:00,2027-10-23 04:48:00,0 days 07:13:00
10000,TPH,KHR,AZ20271020TPHKHR19705,19705,2027-10-20 22:40:00,2027-10-21 00:55:00,2,AZ20271021TPHKHR19705,2027-10-21 22:40:00,2027-10-22 00:55:00,1 days 00:00:00
10002,RBR,TPH,AZ20271021RBRTPH7756,7756,2027-10-22 02:18:00,2027-10-22 03:58:00,1,AZ20271022RBRTPH14413,2027-10-22 15:55:00,2027-10-22 17:35:00,0 days 13:37:00
10006,KHL,TPH,AZ20271021KHLTPH9926,9926,2027-10-21 10:55:00,2027-10-21 17:46:00,1,AZ20271021KHLTPH9777,2027-10-21 12:33:00,2027-10-21 19:24:00,0 days 01:38:00
10008,ERW,TPH,AZ20271021ERWTPH18607,18607,2027-10-22 00:43:00,2027-10-22 03:21:00,1,AZ20271023ERWTPH11666,2027-10-23 22:27:00,2027-10-24 01:04:00,1 days 21:43:00
1000,TPH,KHL,AZ20271020TPHKHL2510,2510,2027-10-21 02:26:00,2027-10-21 09:28:00,4,AZ20271022TPHKHL15796,2027-10-23 02:47:00,2027-10-23 09:49:00,2 days 00:21:00
10010,TPH,NAD,AZ20271020TPHNAD8686,8686,2027-10-21 05:31:00,2027-10-21 07:48:00,1,AZ20271022TPHNAD18287,2027-10-22 22:47:00,2027-10-23 01:04:00,1 days 17:16:00
10011,TPH,FHY,AZ20271021TPHFHY5119,5119,2027-10-21 20:34:00,2027-10-21 22:30:00,2,AZ20271022TPHFHY13713,2027-10-22 23:00:00,2027-10-23 00:56:00,1 days 02:26:00
10012,TPH,NAD,AZ20271020TPHNAD18287,18287,2027-10-20 22:47:00,2027-10-21 01:04:00,1,AZ20271022TPHNAD12819,2027-10-22 20:22:00,2027-10-22 22:39:00,1 days 21:35:00
10016,TPH,QXG,AZ20271021TPHQXG5430,5430,2027-10-22 08:40:00,2027-10-22 11:08:00,1,AZ20271022TPHQXG14385,2027-10-22 18:40:00,2027-10-22 21:08:00,0 days 10:00:00
1001,NAD,TPH,AZ20271021NADTPH10482,10482,2027-10-21 15:41:00,2027-10-21 17:50:00,1,AZ20271021NADTPH3095,2027-10-21 19:35:00,2027-10-21 21:44:00,0 days 03:54:00
1001,TPH,EID,AZ20271021TPHEID19483,19483,2027-10-21 20:38:00,2027-10-21 22:19:00,1,AZ20271021TPHEID787,2027-10-21 23:01:00,2027-10-22 00:42:00,0 days 02:23:00
10020,EYF,TPH,AZ20271021EYFTPH19533,19533,2027-10-21 17:53:00,2027-10-21 19:21:00,1,AZ20271021EYFTPH14730,2027-10-21 20:53:00,2027-10-21 22:21:00,0 days 03:00:00
10023,TPH,RBR,AZ20271021TPHRBR5443,5443,2027-10-21 23:33:00,2027-10-22 01:23:00,1,AZ20271022TPHRBR5443,2027-10-22 23:33:00,2027-10-23 01:23:00,1 days 00:00:00
10024,TPH,BPJ,AZ20271020TPHBPJ14232,14232,2027-10-21 09:44:00,2027-10-21 17:03:00,1,AZ20271022TPHBPJ14232,2027-10-23 09:44:00,2027-10-23 17:03:00,2 days 00:00:00
10026,TPH,NWY,AZ20271020TPHNWY19873,19873,2027-10-21 08:57:00,2027-10-21 12:34:00,1,AZ20271022TPHNWY10061,2027-10-22 23:19:00,2027-10-23 02:56:00,1 days 14:22:00
10027,TPH,NWY,AZ20271021TPHNWY10061,10061,2027-10-21 23:19:00,2027-10-22 02:56:00,1,AZ20271023TPHNWY16107,2027-10-23 20:24:00,2027-10-24 00:01:00,1 days 21:05:00
10028,EBG,TPH,AZ20271022EBGTPH6882,6882,2027-10-22 19:06:00,2027-10-22 21:35:00,1,AZ20271022EBGTPH18974,2027-10-23 02:17:00,2027-10-23 04:48:00,0 days 07:13:00
1002,TPH,QHP,AZ20271021TPHQHP16158,16158,2027-10-22 08:38:00,2027-10-22 11:46:00,2,AZ20271022TPHQHP10566,2027-10-23 00:03:00,2027-10-23 03:11:00,0 days 15:25:00
