RECLOC,CABIN_CD,COS_CD,OPER_OD_ORIG_CD,OPER_OD_DEST_CD,DEP_KEY,DEP_DT,ORIG_CD,DEST_CD,FLT_NUM,DEP_DTML,ARR_DTML,DEP_DTMZ,ARR_DTMZ,PREV_OD_BROKEN_IND,PAX_CNT,CVM,PREV_CONN_TIME,ALT_DEP_KEY,ALT_CABIN_CD,ALT_OPER_OD_ORIG_CD,ALT_OPER_OD_DEST_CD,ALT_DEP_DT,ALT_ORIG_CD,ALT_DEST_CD,ALT_FLT_NUM,ALT_DEP_DTML,ALT_ARR_DTML,ALT_DEP_DTMZ,ALT_ARR_DTMZ,ALT_CONN_TIME_MINS
0,Y,23,EBG,TPH,AZ20271022EBGTPH6882,2027-10-22,EBG,TPH,6882,2027-10-22 15:06,2027-10-22 16:35,2027-10-22 19:06,2027-10-22 21:35,0,1,3.321928095,,AZ20271023EBGTPH18974,Either,EBG,TPH,2027-10-23,EBG,TPH,18974.0,2027-10-23 22:17,2027-10-23 23:48,2027-10-24 02:17,2027-10-24 04:48,
0,Y,23,EBG,TPH,AZ20271022EBGTPH6882,2027-10-22,EBG,TPH,6882,2027-10-22 15:06,2027-10-22 16:35,2027-10-22 19:06,2027-10-22 21:35,0,1,3.321928095,,AZ20271023EBGTPH5654,Either,EBG,TPH,2027-10-23,EBG,TPH,5654.0,2027-10-23 12:44,2027-10-23 14:13,2027-10-23 16:44,2027-10-23 19:13,
0,Y,23,EBG,TPH,AZ20271022EBGTPH6882,2027-10-22,EBG,TPH,6882,2027-10-22 15:06,2027-10-22 16:35,2027-10-22 19:06,2027-10-22 21:35,0,1,3.321928095,,AZ20271023EBGTPH6882,Either,EBG,TPH,2027-10-23,EBG,TPH,6882.0,2027-10-23 15:06,2027-10-23 16:35,2027-10-23 19:06,2027-10-23 21:35,
0,Y,23,EBG,TPH,AZ20271022EBGTPH6882,2027-10-22,EBG,TPH,6882,2027-10-22 15:06,2027-10-22 16:35,2027-10-22 19:06,2027-10-22 21:35,0,1,3.321928095,,AZ20271024EBGTPH5654,Either,EBG,TPH,2027-10-24,EBG,TPH,5654.0,2027-10-24 12:44,2027-10-24 14:13,2027-10-24 16:44,2027-10-24 19:13,
0,Y,23,EBG,TPH,AZ20271022EBGTPH6882,2027-10-22,EBG,TPH,6882,2027-10-22 15:06,2027-10-22 16:35,2027-10-22 19:06,2027-10-22 21:35,0,1,3.321928095,,AZ20271024EBGTPH6882,Either,EBG,TPH,2027-10-24,EBG,TPH,6882.0,2027-10-24 15:06,2027-10-24 16:35,2027-10-24 19:06,2027-10-24 21:35,
1,Y,21,KHL,RHP,AZ20271021TPHRHP12465,2027-10-21,TPH,RHP,12465,2027-10-21 18:25,2027-10-21 21:55,2027-10-21 23:25,2027-10-22 2:55,0,3,5.68904983,116.0,,,,,,,,,,,,,
2,Y,16,CHC,OLT,AZ20271021TPHOLT17144,2027-10-21,TPH,OLT,17144,2027-10-21 18:07,2027-10-21 22:19,2027-10-21 23:07,2027-10-22 6:19,0,1,5.8557099,315.0,,,,,,,,,,,,,
3,Y,20,ZFM,FHY,AZ20271021TPHFHY5119,2027-10-21,TPH,FHY,5119,2027-10-21 15:34,2027-10-21 18:30,2027-10-21 20:34,2027-10-21 22:30,0,3,5.184875461,193.0,,,,,,,,,,,,,
4,Y,24,QXG,GIW,AZ20271021TPHGIW15865,2027-10-21,TPH,GIW,15865,2027-10-22 4:42,2027-10-22 9:33,2027-10-22 9:42,2027-10-22 14:33,0,3,2.459677514,490.0,,,,,,,,,,,,,
5,Y,21,EYF,EBG,AZ20271021EYFTPH19533,2027-10-21,EYF,TPH,19533,2027-10-21 12:53,2027-10-21 14:21,2027-10-21 17:53,2027-10-21 19:21,0,1,1.613299966,,,,,,,,,,,,,,
