RECLOC,CABIN_CD,COS_CD,OPER_OD_ORIG_CD,OPER_OD_DEST_CD,DEP_KEY,DEP_DT,ORIG_CD,DEST_CD,FLT_NUM,DEP_DTML,ARR_DTML,DEP_DTMZ,ARR_DTMZ,PREV_OD_BROKEN_IND,PAX_CNT,CVM,PREV_CONN_TIME,ALT_DEP_KEY,ALT_CABIN_CD,ALT_OPER_OD_ORIG_CD,ALT_OPER_OD_DEST_CD,ALT_DEP_DT,ALT_ORIG_CD,ALT_DEST_CD,ALT_FLT_NUM,ALT_DEP_DTML,ALT_ARR_DTML,ALT_DEP_DTMZ,ALT_ARR_DTMZ,ALT_CONN_TIME_MINS
0,Y,23,EBG,TPH,AZ20271022EBGTPH6882,2027-10-22,EBG,TPH,6882,2027-10-22 15:06,2027-10-22 16:35,2027-10-22 19:06,2027-10-22 21:35,0,1,3.321928095,,AZ20271022EBGTPH18974,Either,EBG,TPH,2027-10-22,EBG,TPH,18974,2027-10-22 22:17,2027-10-22 23:48,2027-10-23 02:17,2027-10-23 04:48,
0,Y,23,EBG,TPH,AZ20271022EBGTPH6882,2027-10-22,EBG,TPH,6882,2027-10-22 15:06,2027-10-22 16:35,2027-10-22 19:06,2027-10-22 21:35,0,1,3.321928095,,AZ20271024EBGTPH5654,Either,EBG,TPH,2027-10-24,EBG,TPH,5654,2027-10-24 12:44,2027-10-24 14:13,2027-10-24 16:44,2027-10-24 19:13,
1,Y,21,KHL,RHP,AZ20271021TPHRHP12465,2027-10-21,TPH,RHP,12465,2027-10-21 18:25,2027-10-21 21:55,2027-10-21 23:25,2027-10-22 2:55,0,3,5.68904983,116.0,AZ20271023TPHRHP2755,Either,TPH,RHP,2027-10-23,TPH,RHP,2755,2027-10-23 15:41,2027-10-23 19:11,2027-10-23 20:41,2027-10-24 00:11,
1,Y,21,KHL,RHP,AZ20271021TPHRHP12465,2027-10-21,TPH,RHP,12465,2027-10-21 18:25,2027-10-21 21:55,2027-10-21 23:25,2027-10-22 2:55,0,3,5.68904983,116.0,AZ20271022TPHRHP16724,Either,TPH,RHP,2027-10-22,TPH,RHP,16724,2027-10-23 00:42,2027-10-23 04:12,2027-10-23 05:42,2027-10-23 09:12,
1,Y,21,KHL,RHP,AZ20271021TPHRHP12465,2027-10-21,TPH,RHP,12465,2027-10-21 18:25,2027-10-21 21:55,2027-10-21 23:25,2027-10-22 2:55,0,3,5.68904983,116.0,AZ20271022TPHRHP5063,Either,TPH,RHP,2027-10-22,TPH,RHP,5063,2027-10-23 00:35,2027-10-23 04:05,2027-10-23 05:35,2027-10-23 09:05,
1,Y,21,KHL,RHP,AZ20271021TPHRHP12465,2027-10-21,TPH,RHP,12465,2027-10-21 18:25,2027-10-21 21:55,2027-10-21 23:25,2027-10-22 2:55,0,3,5.68904983,116.0,AZ20271021TPHRHP5063,Either,TPH,RHP,2027-10-21,TPH,RHP,5063,2027-10-22 00:35,2027-10-22 04:05,2027-10-22 05:35,2027-10-22 09:05,
2,Y,16,CHC,OLT,AZ20271021TPHOLT17144,2027-10-21,TPH,OLT,17144,2027-10-21 18:07,2027-10-21 22:19,2027-10-21 23:07,2027-10-22 6:19,0,1,5.8557099,315.0,AZ20271022TPHOLT17144,Either,TPH,OLT,2027-10-22,TPH,OLT,17144,2027-10-22 18:07,2027-10-22 22:19,2027-10-22 23:07,2027-10-23 06:19,
2,Y,16,CHC,OLT,AZ20271021TPHOLT17144,2027-10-21,TPH,OLT,17144,2027-10-21 18:07,2027-10-21 22:19,2027-10-21 23:07,2027-10-22 6:19,0,1,5.8557099,315.0,AZ20271022TPHOLT8798,Either,TPH,OLT,2027-10-22,TPH,OLT,8798,2027-10-22 14:03,2027-10-22 18:15,2027-10-22 19:03,2027-10-23 02:15,
3,Y,20,ZFM,FHY,AZ20271021TPHFHY5119,2027-10-21,TPH,FHY,5119,2027-10-21 15:34,2027-10-21 18:30,2027-10-21 20:34,2027-10-21 22:30,0,3,5.184875461,193.0,AZ20271023TPHFHY5119,Either,TPH,FHY,2027-10-23,TPH,FHY,5119,2027-10-23 15:34,2027-10-23 18:30,2027-10-23 20:34,2027-10-23 22:30,
3,Y,20,ZFM,FHY,AZ20271021TPHFHY5119,2027-10-21,TPH,FHY,5119,2027-10-21 15:34,2027-10-21 18:30,2027-10-21 20:34,2027-10-21 22:30,0,3,5.184875461,193.0,AZ20271022TPHFHY13713,Either,TPH,FHY,2027-10-22,TPH,FHY,13713,2027-10-22 18:00,2027-10-22 20:56,2027-10-22 23:00,2027-10-23 00:56,
4,Y,24,QXG,GIW,AZ20271021TPHGIW15865,2027-10-21,TPH,GIW,15865,2027-10-22 4:42,2027-10-22 9:33,2027-10-22 9:42,2027-10-22 14:33,0,3,2.459677514,490.0,AZ20271023TPHGIW15865,Either,TPH,GIW,2027-10-23,TPH,GIW,15865,2027-10-24 04:42,2027-10-24 09:33,2027-10-24 09:42,2027-10-24 14:33,
4,Y,24,QXG,GIW,AZ20271021TPHGIW15865,2027-10-21,TPH,GIW,15865,2027-10-22 4:42,2027-10-22 9:33,2027-10-22 9:42,2027-10-22 14:33,0,3,2.459677514,490.0,AZ20271022TPHGIW15865,Either,TPH,GIW,2027-10-22,TPH,GIW,15865,2027-10-23 04:42,2027-10-23 09:33,2027-10-23 09:42,2027-10-23 14:33,
