DEP_KEY,DEP_DT,ORIG_CD,DEST_CD,FLT_NUM,DEP_DTML,ARR_DTML,DEP_DTMZ,ARR_DTMZ,C_CAP_CNT,C_AUL_CNT,C_PAX_CNT,C_AVAIL_CNT,Y_CAP_CNT,Y_AUL_CNT,Y_PAX_CNT,Y_AVAIL_CNT
AZ20271023RHPTPH17919,2027-10-23,RHP,TPH,17919,2027-10-23 22:09:00,2027-10-24 01:37:00,2027-10-24 03:09:00,2027-10-24 06:37:00,16,16,11,5,138,138,117,21
AZ20271021RHPTPH17919,2027-10-21,RHP,TPH,17919,2027-10-21 22:09:00,2027-10-22 01:37:00,2027-10-22 03:09:00,2027-10-22 06:37:00,16,16,14,2,144,144,144,0
AZ20271024RHPTPH17919,2027-10-24,RHP,TPH,17919,2027-10-24 22:09:00,2027-10-25 01:37:00,2027-10-25 03:09:00,2027-10-25 06:37:00,16,16,13,3,144,144,122,22
AZ20271025RHPTPH17919,2027-10-25,RHP,TPH,17919,2027-10-25 22:09:00,2027-10-26 01:37:00,2027-10-26 03:09:00,2027-10-26 06:37:00,16,16,14,2,144,144,111,33
AZ20271027RHPTPH17919,2027-10-27,RHP,TPH,17919,2027-10-27 22:09:00,2027-10-28 01:37:00,2027-10-28 03:09:00,2027-10-28 06:37:00,12,12,11,1,114,114,95,19
AZ20271020RHPTPH17919,2027-10-20,RHP,TPH,17919,2027-10-20 22:09:00,2027-10-21 01:37:00,2027-10-21 03:09:00,2027-10-21 06:37:00,16,16,16,0,138,138,137,1
AZ20271028RHPTPH17919,2027-10-28,RHP,TPH,17919,2027-10-28 22:09:00,2027-10-29 01:37:00,2027-10-29 03:09:00,2027-10-29 06:37:00,12,12,5,7,114,114,102,12
AZ20271022JDPTPH19123,2027-10-22,JDP,TPH,19123,2027-10-22 17:49:00,2027-10-22 20:30:00,2027-10-22 22:49:00,2027-10-23 01:30:00,16,16,1,15,144,144,120,24
AZ20271024JDPTPH19123,2027-10-24,JDP,TPH,19123,2027-10-24 17:49:00,2027-10-24 20:30:00,2027-10-24 22:49:00,2027-10-25 01:30:00,16,16,4,12,144,144,125,19
AZ20271021JDPTPH19123,2027-10-21,JDP,TPH,19123,2027-10-21 17:49:00,2027-10-21 20:30:00,2027-10-21 22:49:00,2027-10-22 01:30:00,16,16,15,1,144,144,138,6
