DEP_KEY,CHANGE_TYPE,DEP_DT,ORIG_CD,DEST_CD,FLT_NUM,DEP_DTML,ARR_DTML,DEP_DTMZ,ARR_DTMZ,C_CAP_CNT,C_AUL_CNT,C_PAX_CNT,C_AVAIL_CNT,Y_CAP_CNT,Y_AUL_CNT,Y_PAX_CNT,Y_AVAIL_CNT
AZ20271021TPHNWY10061,Cancellations,2027-10-21,TPH,NWY,10061,2027-10-21 18:19:00,2027-10-21 21:56:00,2027-10-21 23:19:00,2027-10-22 02:56:00,16,16,12,4,144,144,155,-11
AZ20271020TPHJDP6704,Cancellations,2027-10-20,TPH,JDP,6704,2027-10-21 00:53:00,2027-10-21 03:43:00,2027-10-21 05:53:00,2027-10-21 08:43:00,16,16,4,12,144,144,144,0
AZ20271020TPHQXG9080,Cancellations,2027-10-20,TPH,QXG,9080,2027-10-21 00:47:00,2027-10-21 02:15:00,2027-10-21 05:47:00,2027-10-21 08:15:00,16,16,16,0,150,150,114,36
AZ20271020NWYTPH11552,Cancellations,2027-10-20,NWY,TPH,11552,2027-10-20 19:57:00,2027-10-20 23:38:00,2027-10-21 00:57:00,2027-10-21 04:38:00,16,16,13,3,144,144,157,-13
AZ20271020TPHNAD18287,Cancellations,2027-10-20,TPH,NAD,18287,2027-10-20 17:47:00,2027-10-20 20:04:00,2027-10-20 22:47:00,2027-10-21 01:04:00,16,16,15,1,144,144,136,8
AZ20271021TPHVUY17637,Cancellations,2027-10-21,TPH,VUY,17637,2027-10-21 15:33:00,2027-10-21 15:59:00,2027-10-21 20:33:00,2027-10-21 21:59:00,16,16,14,2,144,144,143,1
AZ20271022VUYTPH5659,Cancellations,2027-10-22,VUY,TPH,5659,2027-10-22 12:02:00,2027-10-22 14:26:00,2027-10-22 18:02:00,2027-10-22 19:26:00,16,16,13,3,144,144,135,9
AZ20271020TPHTZJ19911,Cancellations,2027-10-20,TPH,TZJ,19911,2027-10-20 21:45:00,2027-10-20 23:25:00,2027-10-21 02:45:00,2027-10-21 04:25:00,16,16,13,3,138,138,135,3
AZ20271022EIDTPH14320,Cancellations,2027-10-22,EID,TPH,14320,2027-10-22 15:12:00,2027-10-22 16:46:00,2027-10-22 20:12:00,2027-10-22 21:46:00,16,16,12,4,138,138,136,2
AZ20271020TPHALN8203,Cancellations,2027-10-20,TPH,ALN,8203,2027-10-20 15:25:00,2027-10-20 18:22:00,2027-10-20 20:25:00,2027-10-21 00:22:00,16,16,16,0,144,144,153,-9
AZ20271022HIPTPH12956,Cancellations,2027-10-22,HIP,TPH,12956,2027-10-22 11:21:00,2027-10-22 12:48:00,2027-10-22 16:21:00,2027-10-22 17:48:00,12,12,9,3,114,114,114,0
AZ20271021VUYTPH18329,Cancellations,2027-10-21,VUY,TPH,18329,2027-10-21 17:16:00,2027-10-21 19:40:00,2027-10-21 23:16:00,2027-10-22 00:40:00,16,16,16,0,144,144,126,18
AZ20271021QHPTPH5747,Cancellations,2027-10-21,QHP,TPH,5747,2027-10-21 11:17:00,2027-10-21 14:26:00,2027-10-21 16:17:00,2027-10-21 19:26:00,16,16,13,3,144,144,144,0
