RECLOC,CREATION_DTZ,CABIN_CD,COS_CD,OPER_OD_ORIG_CD,OPER_OD_DEST_CD,DEP_KEY,DEP_DT,ORIG_CD,DEST_CD,FLT_NUM,DEP_DTML,ARR_DTML,DEP_DTMZ,ARR_DTMZ,OD_BROKEN_IND,PAX_CNT,CVM,CONN_TIME_MINS
0,2027-06-11,Y,23,EBG,TPH,AZ20271022EBGTPH6882,2027-10-22,EBG,TPH,6882,2027-10-22 15:06,2027-10-22 16:35,2027-10-22 19:06,2027-10-22 21:35,0,1,3.321928095,
1,2027-09-03,Y,21,KHL,RHP,AZ20271021KHLTPH9400,2027-10-21,KHL,TPH,9400,2027-10-21 11:38,2027-10-21 16:29,2027-10-21 14:38,2027-10-21 21:29,0,3,5.68904983,
1,2027-09-03,Y,20,RHP,KHL,AZ20271104RHPTPH3571,2027-11-04,RHP,TPH,3571,2027-11-04 19:57,2027-11-04 23:25,2027-11-05 0:57,2027-11-05 4:25,0,3,5.68904983,
1,2027-09-03,Y,20,RHP,KHL,AZ20271104TPHKHL548,2027-11-04,TPH,KHL,548,2027-11-05 0:51,2027-11-05 9:53,2027-11-05 5:51,2027-11-05 12:53,0,3,5.68904983,86
1,2027-09-03,Y,21,KHL,RHP,AZ20271021TPHRHP12465,2027-10-21,TPH,RHP,12465,2027-10-21 18:25,2027-10-21 21:55,2027-10-21 23:25,2027-10-22 2:55,0,3,5.68904983,116
2,2027-09-23,Y,16,CHC,OLT,AZ20271021CHCTPH2245,2027-10-21,CHC,TPH,2245,2027-10-21 8:07,2027-10-21 12:52,2027-10-21 11:07,2027-10-21 17:52,0,1,5.8557099,
2,2027-09-23,Y,18,OLT,CHC,AZ20271106OLTTPH10853,2027-11-06,OLT,TPH,10853,2027-11-07 3:19,2027-11-07 12:43,2027-11-07 11:19,2027-11-07 17:43,0,1,5.8557099,
2,2027-09-23,Y,18,OLT,CHC,AZ20271107TPHCHC5640,2027-11-07,TPH,CHC,5640,2027-11-07 21:51,2027-11-08 6:51,2027-11-08 2:51,2027-11-08 9:51,0,1,5.8557099,548
2,2027-09-23,Y,16,CHC,OLT,AZ20271021TPHOLT17144,2027-10-21,TPH,OLT,17144,2027-10-21 18:07,2027-10-21 22:19,2027-10-21 23:07,2027-10-22 6:19,0,1,5.8557099,315
3,2026-04-09,Y,22,FHY,ZFM,AZ20271028FHYTPH19214,2027-10-28,FHY,TPH,19214,2027-10-28 19:31,2027-10-28 20:41,2027-10-28 23:31,2027-10-29 1:41,0,3,5.184875461,
3,2026-04-09,Y,20,ZFM,FHY,AZ20271021TPHFHY5119,2027-10-21,TPH,FHY,5119,2027-10-21 15:34,2027-10-21 18:30,2027-10-21 20:34,2027-10-21 22:30,0,3,5.184875461,193
3,2026-04-09,Y,22,FHY,ZFM,AZ20271028TPHZFM3101,2027-10-28,TPH,ZFM,3101,2027-10-28 21:55,2027-10-29 6:30,2027-10-29 2:55,2027-10-29 9:30,0,3,5.184875461,74
3,2026-04-09,Y,20,ZFM,FHY,AZ20271021ZFMTPH10080,2027-10-21,ZFM,TPH,10080,2027-10-21 7:36,2027-10-21 12:21,2027-10-21 10:36,2027-10-21 17:21,0,3,5.184875461,
4,2027-07-15,Y,24,QXG,GIW,AZ20271021QXGVUY8894,2027-10-21,QXG,VUY,8894,2027-10-21 15:31,2027-10-21 17:13,2027-10-21 21:31,2027-10-21 23:13,0,3,2.459677514,
4,2027-07-15,Y,24,QXG,GIW,AZ20271021TPHGIW15865,2027-10-21,TPH,GIW,15865,2027-10-22 4:42,2027-10-22 9:33,2027-10-22 9:42,2027-10-22 14:33,0,3,2.459677514,490
4,2027-07-15,Y,24,QXG,GIW,AZ20271021VUYTPH8894,2027-10-21,VUY,TPH,8894,2027-10-21 18:08,2027-10-21 20:32,2027-10-22 0:08,2027-10-22 1:32,0,3,2.459677514,55
5,2027-09-23,Y,0,EBG,EYF,AZ20271024EBGTPH5654,2027-10-24,EBG,TPH,5654,2027-10-24 12:44,2027-10-24 14:13,2027-10-24 16:44,2027-10-24 19:13,0,1,1.613299966,
5,2027-09-23,Y,21,EYF,EBG,AZ20271021EYFTPH19533,2027-10-21,EYF,TPH,19533,2027-10-21 12:53,2027-10-21 14:21,2027-10-21 17:53,2027-10-21 19:21,0,1,1.613299966,
5,2027-09-23,Y,21,EYF,EBG,AZ20271021TPHEBG19659,2027-10-21,TPH,EBG,19659,2027-10-21 14:58,2027-10-21 18:18,2027-10-21 19:58,2027-10-21 22:18,0,1,1.613299966,37
5,2027-09-23,Y,0,EBG,EYF,AZ20271024TPHEYF898,2027-10-24,TPH,EYF,898,2027-10-24 15:44,2027-10-24 17:05,2027-10-24 20:44,2027-10-24 22:05,0,1,1.613299966,91
6,2027-08-13,Y,0,EID,VUY,AZ20270914EIDTPH2049,2027-09-14,EID,TPH,2049,2027-09-14 18:55,2027-09-14 20:28,2027-09-14 23:55,2027-09-15 1:28,0,1,2.320012851,
6,2027-08-13,Y,0,VUY,EID,AZ20271022TPHEID19483,2027-10-22,TPH,EID,19483,2027-10-22 15:38,2027-10-22 17:19,2027-10-22 20:38,2027-10-22 22:19,0,1,2.320012851,72
6,2027-08-13,Y,0,EID,VUY,AZ20270914TPHVUY14711,2027-09-14,TPH,VUY,14711,2027-09-14 22:05,2027-09-14 22:27,2027-09-15 3:05,2027-09-15 4:27,0,1,2.320012851,97
6,2027-08-13,Y,0,VUY,EID,AZ20271022VUYTPH5659,2027-10-22,VUY,TPH,5659,2027-10-22 12:02,2027-10-22 14:26,2027-10-22 18:02,2027-10-22 19:26,0,1,2.320012851,
7,2027-09-26,Y,19,CLT,PGM,AZ20271119CLTTPH1630,2027-11-19,CLT,TPH,1630,2027-11-19 20:53,2027-11-19 23:03,2027-11-20 1:53,2027-11-20 4:03,0,1,2.321462839,
7,2027-09-26,Y,19,PGM,CLT,AZ20271021PGMTPH18891,2027-10-21,PGM,TPH,18891,2027-10-21 11:10,2027-10-21 14:17,2027-10-21 17:10,2027-10-21 19:17,0,1,2.321462839,
7,2027-09-26,Y,19,PGM,CLT,AZ20271021TPHCLT8368,2027-10-21,TPH,CLT,8368,2027-10-21 17:59,2027-10-21 19:53,2027-10-21 22:59,2027-10-22 0:53,0,1,2.321462839,222
7,2027-09-26,Y,19,CLT,PGM,AZ20271119TPHPGM8800,2027-11-19,TPH,PGM,8800,2027-11-20 4:41,2027-11-20 5:50,2027-11-20 9:41,2027-11-20 11:50,0,1,2.321462839,338
8,2027-07-15,Y,19,QRD,TPH,AZ20271011QRDTPH8166,2027-10-11,QRD,TPH,8166,2027-10-11 22:53,2027-10-12 2:15,2027-10-12 3:53,2027-10-12 7:15,0,2,0.393999994,
8,2027-07-15,Y,14,TPH,QRD,AZ20271020TPHQRD1370,2027-10-20,TPH,QRD,1370,2027-10-20 15:47,2027-10-20 19:13,2027-10-20 20:47,2027-10-21 0:13,0,2,0.393999994,
9,2027-09-23,Y,21,EYF,TPH,AZ20271021EYFTPH7127,2027-10-21,EYF,TPH,7127,2027-10-21 18:37,2027-10-21 20:05,2027-10-21 23:37,2027-10-22 1:05,0,1,8.21100026369095e-02,
10,2027-10-04,Y,13,QHP,NAD,AZ20271021QHPTPH10318,2027-10-21,QHP,TPH,10318,2027-10-21 22:30,2027-10-22 1:39,2027-10-22 3:30,2027-10-22 6:39,0,1,5.17990909,
10,2027-10-04,Y,13,QHP,NAD,AZ20271021TPHNAD10818,2027-10-21,TPH,NAD,10818,2027-10-22 3:37,2027-10-22 5:54,2027-10-22 8:37,2027-10-22 10:54,0,1,5.17990909,118
11,2027-09-23,Y,11,ERW,ZFM,AZ20271020ERWTPH11666,2027-10-20,ERW,TPH,11666,2027-10-20 18:27,2027-10-20 20:04,2027-10-20 22:27,2027-10-21 1:04,0,1,4.951531959,
11,2027-09-23,Y,10,ZFM,ERW,AZ20270924TPHERW5969,2027-09-24,TPH,ERW,5969,2027-09-25 0:51,2027-09-25 4:26,2027-09-25 5:51,2027-09-25 8:26,0,1,4.951531959,512
11,2027-09-23,Y,11,ERW,ZFM,AZ20271020TPHZFM3101,2027-10-20,TPH,ZFM,3101,2027-10-20 21:55,2027-10-21 6:30,2027-10-21 2:55,2027-10-21 9:30,0,1,4.951531959,111
11,2027-09-23,Y,10,ZFM,ERW,AZ20270924ZFMTPH2842,2027-09-24,ZFM,TPH,2842,2027-09-24 11:23,2027-09-24 16:19,2027-09-24 14:23,2027-09-24 21:19,0,1,4.951531959,
12,2027-09-17,Y,22,IPF,QHP,AZ20270925IPFTPH3845,2027-09-25,IPF,TPH,3845,2027-09-25 17:16,2027-09-25 22:43,2027-09-25 20:16,2027-09-26 3:43,0,1,4.703757142,
12,2027-09-17,Y,0,QHP,TPH,AZ20271021QHPTPH5747,2027-10-21,QHP,TPH,5747,2027-10-21 11:17,2027-10-21 14:26,2027-10-21 16:17,2027-10-21 19:26,0,1,4.703757142,
12,2027-09-17,Y,22,IPF,QHP,AZ20270925TPHQHP793,2027-09-25,TPH,QHP,793,2027-09-26 0:29,2027-09-26 3:39,2027-09-26 5:29,2027-09-26 8:39,0,1,4.703757142,106
13,2027-06-24,Y,18,ERW,EYF,AZ20271020ERWTPH18828,2027-10-20,ERW,TPH,18828,2027-10-20 23:52,2027-10-21 1:30,2027-10-21 3:52,2027-10-21 6:30,0,8,3.491075006,
13,2027-06-24,Y,22,EYF,ERW,AZ20271011EYFTPH14730,2027-10-11,EYF,TPH,14730,2027-10-11 15:53,2027-10-11 17:21,2027-10-11 20:53,2027-10-11 22:21,0,8,3.491075006,
13,2027-06-24,Y,22,EYF,ERW,AZ20271011TPHERW12432,2027-10-11,TPH,ERW,12432,2027-10-11 18:23,2027-10-11 21:52,2027-10-11 23:23,2027-10-12 1:52,0,8,3.491075006,62
13,2027-06-24,Y,18,ERW,EYF,AZ20271020TPHEYF5897,2027-10-20,TPH,EYF,5897,2027-10-21 3:46,2027-10-21 5:07,2027-10-21 8:46,2027-10-21 10:07,0,8,3.491075006,136
14,2027-08-31,Y,11,HHO,NWY,AZ20271021HHOTPH3384,2027-10-21,HHO,TPH,3384,2027-10-21 20:38,2027-10-22 2:12,2027-10-22 1:38,2027-10-22 7:12,0,4,1.386000007,
